u0,u1,u2,u3
-0.0000510309,-0.0000510309,-0.0000510309,-0.0000510309
-0.0000471659,-0.0000471659,-0.0000471659,-0.0000471659
-0.0000431870,-0.0000431870,-0.0000431870,-0.0000431870
-0.0000391004,-0.0000391004,-0.0000391004,-0.0000391004
-0.0000349003,-0.0000349003,-0.0000349003,-0.0000349003
-0.0000305933,-0.0000305933,-0.0000305933,-0.0000305933
-0.0000261731,-0.0000261731,-0.0000261731,-0.0000261731
-0.0000216469,-0.0000216469,-0.0000216469,-0.0000216469
-0.0000170082,-0.0000170082,-0.0000170082,-0.0000170082
-0.0000122642,-0.0000122642,-0.0000122642,-0.0000122642
-0.0000074084,-0.0000074084,-0.0000074084,-0.0000074084
-0.0000024482,-0.0000024482,-0.0000024482,-0.0000024482
0.0000026232,0.0000026232,0.0000026232,0.0000026232
0.0000077980,0.0000077980,0.0000077980,0.0000077980
0.0000130834,0.0000130834,0.0000130834,0.0000130834
0.0000184712,0.0000184712,0.0000184712,0.0000184712
0.0000239689,0.0000239689,0.0000239689,0.0000239689
0.0000295681,0.0000295681,0.0000295681,0.0000295681
0.0000352765,0.0000352765,0.0000352765,0.0000352765
0.0000410854,0.0000410854,0.0000410854,0.0000410854
0.0000470029,0.0000470029,0.0000470029,0.0000470029
0.0000530198,0.0000530198,0.0000530198,0.0000530198
0.0000591447,0.0000591447,0.0000591447,0.0000591447
0.0000653680,0.0000653680,0.0000653680,0.0000653680
0.0000716986,0.0000716986,0.0000716986,0.0000716986
0.0000781266,0.0000781266,0.0000781266,0.0000781266
0.0000846613,0.0000846613,0.0000846613,0.0000846613
0.0000912924,0.0000912924,0.0000912924,0.0000912924
0.0000980294,0.0000980294,0.0000980294,0.0000980294
0.0001048619,0.0001048619,0.0001048619,0.0001048619
0.0001117996,0.0001117996,0.0001117996,0.0001117996
0.0001188318,0.0001188318,0.0001188318,0.0001188318
0.0001259685,0.0001259685,0.0001259685,0.0001259685
0.0001331987,0.0001331987,0.0001331987,0.0001331987
0.0001405328,0.0001405328,0.0001405328,0.0001405328
0.0001479594,0.0001479594,0.0001479594,0.0001479594
0.0001554891,0.0001554891,0.0001554891,0.0001554891
0.0001631104,0.0001631104,0.0001631104,0.0001631104
0.0001708313,0.0001708313,0.0001708313,0.0001708313
0.0001786484,0.0001786484,0.0001786484,0.0001786484
0.0001865615,0.0001865615,0.0001865615,0.0001865615
0.0001945701,0.0001945701,0.0001945701,0.0001945701
0.0002026738,0.0002026738,0.0002026738,0.0002026738
0.0002108721,0.0002108721,0.0002108721,0.0002108721
0.0002191647,0.0002191647,0.0002191647,0.0002191647
0.0002275511,0.0002275511,0.0002275511,0.0002275511
0.0002360309,0.0002360309,0.0002360309,0.0002360309
0.0002446037,0.0002446037,0.0002446037,0.0002446037
0.0002532690,0.0002532690,0.0002532690,0.0002532690
0.0002620265,0.0002620265,0.0002620265,0.0002620265
0.0002708757,0.0002708757,0.0002708757,0.0002708757
0.0002798163,0.0002798163,0.0002798163,0.0002798163
0.0002888477,0.0002888477,0.0002888477,0.0002888477
0.0002979696,0.0002979696,0.0002979696,0.0002979696
0.0003071815,0.0003071815,0.0003071815,0.0003071815
0.0003164831,0.0003164831,0.0003164831,0.0003164831
0.0003258738,0.0003258738,0.0003258738,0.0003258738
0.0003353534,0.0003353534,0.0003353534,0.0003353534
0.0003449214,0.0003449214,0.0003449214,0.0003449214
0.0003545773,0.0003545773,0.0003545773,0.0003545773
0.0003643207,0.0003643207,0.0003643207,0.0003643207
0.0003741513,0.0003741513,0.0003741513,0.0003741513
0.0003840685,0.0003840685,0.0003840685,0.0003840685
0.0003940721,0.0003940721,0.0003940721,0.0003940721
0.0004041615,0.0004041615,0.0004041615,0.0004041615
0.0004143363,0.0004143363,0.0004143363,0.0004143363
0.0004245962,0.0004245962,0.0004245962,0.0004245962
0.0004349407,0.0004349407,0.0004349407,0.0004349407
0.0004453694,0.0004453694,0.0004453694,0.0004453694
0.0004558818,0.0004558818,0.0004558818,0.0004558818
0.0004664776,0.0004664776,0.0004664776,0.0004664776
0.0004771563,0.0004771563,0.0004771563,0.0004771563
0.0004879175,0.0004879175,0.0004879175,0.0004879175
0.0004987609,0.0004987609,0.0004987609,0.0004987609
0.0005096859,0.0005096859,0.0005096859,0.0005096859
0.0005206921,0.0005206921,0.0005206921,0.0005206921
0.0005317792,0.0005317792,0.0005317792,0.0005317792
0.0005429467,0.0005429467,0.0005429467,0.0005429467
0.0005541942,0.0005541942,0.0005541942,0.0005541942
0.0005655213,0.0005655213,0.0005655213,0.0005655213
0.0005769275,0.0005769275,0.0005769275,0.0005769275
0.0005884125,0.0005884125,0.0005884125,0.0005884125
0.0005999758,0.0005999758,0.0005999758,0.0005999758
0.0006116171,0.0006116171,0.0006116171,0.0006116171
0.0006233358,0.0006233358,0.0006233358,0.0006233358
0.0006351315,0.0006351315,0.0006351315,0.0006351315
0.0006470039,0.0006470039,0.0006470039,0.0006470039
0.0006589526,0.0006589526,0.0006589526,0.0006589526
0.0006709770,0.0006709770,0.0006709770,0.0006709770
0.0006830769,0.0006830769,0.0006830769,0.0006830769
0.0006952517,0.0006952517,0.0006952517,0.0006952517
0.0007075011,0.0007075011,0.0007075011,0.0007075011
0.0007198246,0.0007198246,0.0007198246,0.0007198246
0.0007322218,0.0007322218,0.0007322218,0.0007322218
0.0007446923,0.0007446923,0.0007446923,0.0007446923
0.0007572357,0.0007572357,0.0007572357,0.0007572357
0.0007698516,0.0007698516,0.0007698516,0.0007698516
0.0007825395,0.0007825395,0.0007825395,0.0007825395
0.0007952990,0.0007952990,0.0007952990,0.0007952990
0.0008081297,0.0008081297,0.0008081297,0.0008081297
0.0008210312,0.0008210312,0.0008210312,0.0008210312
0.0008340031,0.0008340031,0.0008340031,0.0008340031
0.0008470449,0.0008470449,0.0008470449,0.0008470449
0.0008601562,0.0008601562,0.0008601562,0.0008601562
0.0008733367,0.0008733367,0.0008733367,0.0008733367
0.0008865858,0.0008865858,0.0008865858,0.0008865858
0.0008999032,0.0008999032,0.0008999032,0.0008999032
0.0009132885,0.0009132885,0.0009132885,0.0009132885
0.0009267412,0.0009267412,0.0009267412,0.0009267412
0.0009402609,0.0009402609,0.0009402609,0.0009402609
0.0009538472,0.0009538472,0.0009538472,0.0009538472
0.0009674997,0.0009674997,0.0009674997,0.0009674997
0.0009812179,0.0009812179,0.0009812179,0.0009812179
0.0009950015,0.0009950015,0.0009950015,0.0009950015
0.0010088500,0.0010088500,0.0010088500,0.0010088500
0.0010227630,0.0010227630,0.0010227630,0.0010227630
0.0010367401,0.0010367401,0.0010367401,0.0010367401
0.0010507808,0.0010507808,0.0010507808,0.0010507808
0.0010648848,0.0010648848,0.0010648848,0.0010648848
0.0010790516,0.0010790516,0.0010790516,0.0010790516
0.0010932809,0.0010932809,0.0010932809,0.0010932809
0.0011075721,0.0011075721,0.0011075721,0.0011075721
0.0011219249,0.0011219249,0.0011219249,0.0011219249
0.0011363388,0.0011363388,0.0011363388,0.0011363388
0.0011508134,0.0011508134,0.0011508134,0.0011508134
0.0011653484,0.0011653484,0.0011653484,0.0011653484
0.0011799433,0.0011799433,0.0011799433,0.0011799433
0.0011945976,0.0011945976,0.0011945976,0.0011945976
0.0012093110,0.0012093110,0.0012093110,0.0012093110
0.0012240831,0.0012240831,0.0012240831,0.0012240831
0.0012389133,0.0012389133,0.0012389133,0.0012389133
0.0012538014,0.0012538014,0.0012538014,0.0012538014
0.0012687468,0.0012687468,0.0012687468,0.0012687468
0.0012837492,0.0012837492,0.0012837492,0.0012837492
0.0012988081,0.0012988081,0.0012988081,0.0012988081
0.0013139232,0.0013139232,0.0013139232,0.0013139232
0.0013290939,0.0013290939,0.0013290939,0.0013290939
0.0013443200,0.0013443200,0.0013443200,0.0013443200
0.0013596009,0.0013596009,0.0013596009,0.0013596009
0.0013749363,0.0013749363,0.0013749363,0.0013749363
0.0013903257,0.0013903257,0.0013903257,0.0013903257
0.0014057687,0.0014057687,0.0014057687,0.0014057687
0.0014212649,0.0014212649,0.0014212649,0.0014212649
0.0014368139,0.0014368139,0.0014368139,0.0014368139
0.0014524152,0.0014524152,0.0014524152,0.0014524152
0.0014680684,0.0014680684,0.0014680684,0.0014680684
0.0014837732,0.0014837732,0.0014837732,0.0014837732
0.0014995291,0.0014995291,0.0014995291,0.0014995291
0.0015153357,0.0015153357,0.0015153357,0.0015153357
0.0015311925,0.0015311925,0.0015311925,0.0015311925
0.0015470991,0.0015470991,0.0015470991,0.0015470991
0.0015630552,0.0015630552,0.0015630552,0.0015630552
0.0015790603,0.0015790603,0.0015790603,0.0015790603
0.0015951140,0.0015951140,0.0015951140,0.0015951140
0.0016046566,0.0016046566,0.0016046566,0.0016046566
0.0016027781,0.0016027781,0.0016027781,0.0016027781
0.0016008712,0.0016008712,0.0016008712,0.0016008712
0.0015989359,0.0015989359,0.0015989359,0.0015989359
0.0015969723,0.0015969723,0.0015969723,0.0015969723
0.0015949803,0.0015949803,0.0015949803,0.0015949803
0.0015929600,0.0015929600,0.0015929600,0.0015929600
0.0015909114,0.0015909114,0.0015909114,0.0015909114
0.0015888345,0.0015888345,0.0015888345,0.0015888345
0.0015867293,0.0015867293,0.0015867293,0.0015867293
0.0015845959,0.0015845959,0.0015845959,0.0015845959
0.0015824342,0.0015824342,0.0015824342,0.0015824342
0.0015802444,0.0015802444,0.0015802444,0.0015802444
0.0015780264,0.0015780264,0.0015780264,0.0015780264
0.0015757803,0.0015757803,0.0015757803,0.0015757803
0.0015735060,0.0015735060,0.0015735060,0.0015735060
0.0015712037,0.0015712037,0.0015712037,0.0015712037
0.0015688733,0.0015688733,0.0015688733,0.0015688733
0.0015665150,0.0015665150,0.0015665150,0.0015665150
0.0015641286,0.0015641286,0.0015641286,0.0015641286
0.0015617143,0.0015617143,0.0015617143,0.0015617143
0.0015592722,0.0015592722,0.0015592722,0.0015592722
0.0015568021,0.0015568021,0.0015568021,0.0015568021
0.0015543043,0.0015543043,0.0015543043,0.0015543043
0.0015517787,0.0015517787,0.0015517787,0.0015517787
0.0015492253,0.0015492253,0.0015492253,0.0015492253
0.0015466443,0.0015466443,0.0015466443,0.0015466443
0.0015440356,0.0015440356,0.0015440356,0.0015440356
0.0015413993,0.0015413993,0.0015413993,0.0015413993
0.0015387355,0.0015387355,0.0015387355,0.0015387355
0.0015360442,0.0015360442,0.0015360442,0.0015360442
0.0015333254,0.0015333254,0.0015333254,0.0015333254
0.0015305793,0.0015305793,0.0015305793,0.0015305793
0.0015278057,0.0015278057,0.0015278057,0.0015278057
0.0015250050,0.0015250050,0.0015250050,0.0015250050
0.0015221769,0.0015221769,0.0015221769,0.0015221769
0.0015193217,0.0015193217,0.0015193217,0.0015193217
0.0015164394,0.0015164394,0.0015164394,0.0015164394
0.0015135300,0.0015135300,0.0015135300,0.0015135300
0.0015105936,0.0015105936,0.0015105936,0.0015105936
0.0015076302,0.0015076302,0.0015076302,0.0015076302
0.0015046400,0.0015046400,0.0015046400,0.0015046400
0.0015016229,0.0015016229,0.0015016229,0.0015016229
0.0014985791,0.0014985791,0.0014985791,0.0014985791
0.0014955085,0.0014955085,0.0014955085,0.0014955085
0.0014924114,0.0014924114,0.0014924114,0.0014924114
0.0014892876,0.0014892876,0.0014892876,0.0014892876
0.0014861374,0.0014861374,0.0014861374,0.0014861374
0.0014829607,0.0014829607,0.0014829607,0.0014829607
0.0014797576,0.0014797576,0.0014797576,0.0014797576
0.0014765283,0.0014765283,0.0014765283,0.0014765283
0.0014732727,0.0014732727,0.0014732727,0.0014732727
0.0014699909,0.0014699909,0.0014699909,0.0014699909
0.0014666831,0.0014666831,0.0014666831,0.0014666831
0.0014633492,0.0014633492,0.0014633492,0.0014633492
0.0014599894,0.0014599894,0.0014599894,0.0014599894
0.0014566037,0.0014566037,0.0014566037,0.0014566037
0.0014531922,0.0014531922,0.0014531922,0.0014531922
0.0014497549,0.0014497549,0.0014497549,0.0014497549
0.0014462921,0.0014462921,0.0014462921,0.0014462921
0.0014428036,0.0014428036,0.0014428036,0.0014428036
0.0014392897,0.0014392897,0.0014392897,0.0014392897
0.0014357503,0.0014357503,0.0014357503,0.0014357503
0.0014321856,0.0014321856,0.0014321856,0.0014321856
0.0014285956,0.0014285956,0.0014285956,0.0014285956
0.0014249804,0.0014249804,0.0014249804,0.0014249804
0.0014213402,0.0014213402,0.0014213402,0.0014213402
0.0014176749,0.0014176749,0.0014176749,0.0014176749
0.0014139846,0.0014139846,0.0014139846,0.0014139846
0.0014102695,0.0014102695,0.0014102695,0.0014102695
0.0014065297,0.0014065297,0.0014065297,0.0014065297
0.0014027651,0.0014027651,0.0014027651,0.0014027651
0.0013989759,0.0013989759,0.0013989759,0.0013989759
0.0013951622,0.0013951622,0.0013951622,0.0013951622
0.0013913241,0.0013913241,0.0013913241,0.0013913241
0.0013874615,0.0013874615,0.0013874615,0.0013874615
0.0013835748,0.0013835748,0.0013835748,0.0013835748
0.0013796638,0.0013796638,0.0013796638,0.0013796638
0.0013757287,0.0013757287,0.0013757287,0.0013757287
0.0013717697,0.0013717697,0.0013717697,0.0013717697
0.0013677867,0.0013677867,0.0013677867,0.0013677867
0.0013637798,0.0013637798,0.0013637798,0.0013637798
0.0013597493,0.0013597493,0.0013597493,0.0013597493
0.0013556950,0.0013556950,0.0013556950,0.0013556950
0.0013516172,0.0013516172,0.0013516172,0.0013516172
0.0013475159,0.0013475159,0.0013475159,0.0013475159
0.0013433913,0.0013433913,0.0013433913,0.0013433913
0.0013392433,0.0013392433,0.0013392433,0.0013392433
0.0013350721,0.0013350721,0.0013350721,0.0013350721
0.0013308778,0.0013308778,0.0013308778,0.0013308778
0.0013266605,0.0013266605,0.0013266605,0.0013266605
0.0013224203,0.0013224203,0.0013224203,0.0013224203
0.0013181572,0.0013181572,0.0013181572,0.0013181572
0.0013138714,0.0013138714,0.0013138714,0.0013138714
0.0013095629,0.0013095629,0.0013095629,0.0013095629
0.0013052319,0.0013052319,0.0013052319,0.0013052319
0.0013008784,0.0013008784,0.0013008784,0.0013008784
0.0012965025,0.0012965025,0.0012965025,0.0012965025
0.0012921044,0.0012921044,0.0012921044,0.0012921044
0.0012876840,0.0012876840,0.0012876840,0.0012876840
0.0012832416,0.0012832416,0.0012832416,0.0012832416
0.0012787772,0.0012787772,0.0012787772,0.0012787772
0.0012742909,0.0012742909,0.0012742909,0.0012742909
0.0012697829,0.0012697829,0.0012697829,0.0012697829
0.0012652531,0.0012652531,0.0012652531,0.0012652531
0.0012607017,0.0012607017,0.0012607017,0.0012607017
0.0012561288,0.0012561288,0.0012561288,0.0012561288
0.0012515345,0.0012515345,0.0012515345,0.0012515345
0.0012469188,0.0012469188,0.0012469188,0.0012469188
0.0012422820,0.0012422820,0.0012422820,0.0012422820
0.0012376240,0.0012376240,0.0012376240,0.0012376240
0.0012329450,0.0012329450,0.0012329450,0.0012329450
0.0012282451,0.0012282451,0.0012282451,0.0012282451
0.0012235244,0.0012235244,0.0012235244,0.0012235244
0.0012187829,0.0012187829,0.0012187829,0.0012187829
0.0012140208,0.0012140208,0.0012140208,0.0012140208
0.0012092382,0.0012092382,0.0012092382,0.0012092382
0.0012044351,0.0012044351,0.0012044351,0.0012044351
0.0011996117,0.0011996117,0.0011996117,0.0011996117
0.0011947681,0.0011947681,0.0011947681,0.0011947681
0.0011899043,0.0011899043,0.0011899043,0.0011899043
0.0011850205,0.0011850205,0.0011850205,0.0011850205
0.0011801168,0.0011801168,0.0011801168,0.0011801168
0.0011751932,0.0011751932,0.0011751932,0.0011751932
0.0011702499,0.0011702499,0.0011702499,0.0011702499
0.0011652869,0.0011652869,0.0011652869,0.0011652869
0.0011603044,0.0011603044,0.0011603044,0.0011603044
0.0011553024,0.0011553024,0.0011553024,0.0011553024
0.0011502812,0.0011502812,0.0011502812,0.0011502812
0.0011452406,0.0011452406,0.0011452406,0.0011452406
0.0011401810,0.0011401810,0.0011401810,0.0011401810
0.0011351022,0.0011351022,0.0011351022,0.0011351022
0.0011300046,0.0011300046,0.0011300046,0.0011300046
0.0011248355,0.0011248355,0.0011248355,0.0011248355
0.0011197534,0.0011197534,0.0011197534,0.0011197534
0.0011145474,0.0011145474,0.0011145474,0.0011145474
0.0011094277,0.0011094277,0.0011094277,0.0011094277
0.0011041851,0.0011041851,0.0011041851,0.0011041851
0.0010990282,0.0010990282,0.0010990282,0.0010990282
0.0010937494,0.0010937494,0.0010937494,0.0010937494
0.0010885557,0.0010885557,0.0010885557,0.0010885557
0.0010832412,0.0010832412,0.0010832412,0.0010832412
0.0010780110,0.0010780110,0.0010780110,0.0010780110
0.0010726612,0.0010726612,0.0010726612,0.0010726612
0.0010673949,0.0010673949,0.0010673949,0.0010673949
0.0010620102,0.0010620102,0.0010620102,0.0010620102
0.0010567083,0.0010567083,0.0010567083,0.0010567083
0.0010512890,0.0010512890,0.0010512890,0.0010512890
0.0010459519,0.0010459519,0.0010459519,0.0010459519
0.0010404985,0.0010404985,0.0010404985,0.0010404985
0.0010351264,0.0010351264,0.0010351264,0.0010351264
0.0010296393,0.0010296393,0.0010296393,0.0010296393
0.0010242328,0.0010242328,0.0010242328,0.0010242328
0.0010187124,0.0010187124,0.0010187124,0.0010187124
0.0010132717,0.0010132717,0.0010132717,0.0010132717
0.0010077184,0.0010077184,0.0010077184,0.0010077184
0.0010022441,0.0010022441,0.0010022441,0.0010022441
0.0009966582,0.0009966582,0.0009966582,0.0009966582
0.0009911506,0.0009911506,0.0009911506,0.0009911506
0.0009855326,0.0009855326,0.0009855326,0.0009855326
0.0009799921,0.0009799921,0.0009799921,0.0009799921
0.0009743424,0.0009743424,0.0009743424,0.0009743424
0.0009687694,0.0009687694,0.0009687694,0.0009687694
0.0009630883,0.0009630883,0.0009630883,0.0009630883
0.0009574832,0.0009574832,0.0009574832,0.0009574832
0.0009517712,0.0009517712,0.0009517712,0.0009517712
0.0009461343,0.0009461343,0.0009461343,0.0009461343
0.0009403918,0.0009403918,0.0009403918,0.0009403918
0.0009347235,0.0009347235,0.0009347235,0.0009347235
0.0009289508,0.0009289508,0.0009289508,0.0009289508
0.0009232516,0.0009232516,0.0009232516,0.0009232516
0.0009174492,0.0009174492,0.0009174492,0.0009174492
0.0009117194,0.0009117194,0.0009117194,0.0009117194
0.0009058876,0.0009058876,0.0009058876,0.0009058876
0.0009001276,0.0009001276,0.0009001276,0.0009001276
0.0008942668,0.0008942668,0.0008942668,0.0008942668
0.0008884770,0.0008884770,0.0008884770,0.0008884770
0.0008825876,0.0008825876,0.0008825876,0.0008825876
0.0008767684,0.0008767684,0.0008767684,0.0008767684
0.0008708507,0.0008708507,0.0008708507,0.0008708507
0.0008650025,0.0008650025,0.0008650025,0.0008650025
0.0008590570,0.0008590570,0.0008590570,0.0008590570
0.0008531801,0.0008531801,0.0008531801,0.0008531801
0.0008472072,0.0008472072,0.0008472072,0.0008472072
0.0008413019,0.0008413019,0.0008413019,0.0008413019
0.0008353020,0.0008353020,0.0008353020,0.0008353020
0.0008293688,0.0008293688,0.0008293688,0.0008293688
0.0008233421,0.0008233421,0.0008233421,0.0008233421
0.0008173814,0.0008173814,0.0008173814,0.0008173814
0.0008113284,0.0008113284,0.0008113284,0.0008113284
0.0008053405,0.0008053405,0.0008053405,0.0008053405
0.0007992616,0.0007992616,0.0007992616,0.0007992616
0.0007932469,0.0007932469,0.0007932469,0.0007932469
0.0007871424,0.0007871424,0.0007871424,0.0007871424
0.0007811012,0.0007811012,0.0007811012,0.0007811012
0.0007749716,0.0007749716,0.0007749716,0.0007749716
0.0007689043,0.0007689043,0.0007689043,0.0007689043
0.0007627498,0.0007627498,0.0007627498,0.0007627498
0.0007566568,0.0007566568,0.0007566568,0.0007566568
0.0007504779,0.0007504779,0.0007504779,0.0007504779
0.0007443595,0.0007443595,0.0007443595,0.0007443595
0.0007381565,0.0007381565,0.0007381565,0.0007381565
0.0007320131,0.0007320131,0.0007320131,0.0007320131
0.0007257864,0.0007257864,0.0007257864,0.0007257864
0.0007196183,0.0007196183,0.0007196183,0.0007196183
0.0007133682,0.0007133682,0.0007133682,0.0007133682
0.0007071759,0.0007071759,0.0007071759,0.0007071759
0.0007009028,0.0007009028,0.0007009028,0.0007009028
0.0006946865,0.0006946865,0.0006946865,0.0006946865
0.0006883907,0.0006883907,0.0006883907,0.0006883907
0.0006821509,0.0006821509,0.0006821509,0.0006821509
0.0006758328,0.0006758328,0.0006758328,0.0006758328
0.0006695697,0.0006695697,0.0006695697,0.0006695697
0.0006632296,0.0006632296,0.0006632296,0.0006632296
0.0006569436,0.0006569436,0.0006569436,0.0006569436
0.0006505820,0.0006505820,0.0006505820,0.0006505820
0.0006442735,0.0006442735,0.0006442735,0.0006442735
0.0006378905,0.0006378905,0.0006378905,0.0006378905
0.0006315598,0.0006315598,0.0006315598,0.0006315598
0.0006251560,0.0006251560,0.0006251560,0.0006251560
0.0006188033,0.0006188033,0.0006188033,0.0006188033
0.0006123789,0.0006123789,0.0006123789,0.0006123789
0.0006059447,0.0006059447,0.0006059447,0.0006059447
0.0005995904,0.0005995904,0.0005995904,0.0005995904
0.0005931358,0.0005931358,0.0005931358,0.0005931358
0.0005866716,0.0005866716,0.0005866716,0.0005866716
0.0005802850,0.0005802850,0.0005802850,0.0005802850
0.0005738009,0.0005738009,0.0005738009,0.0005738009
0.0005673074,0.0005673074,0.0005673074,0.0005673074
0.0005608893,0.0005608893,0.0005608893,0.0005608893
0.0005543764,0.0005543764,0.0005543764,0.0005543764
0.0005478545,0.0005478545,0.0005478545,0.0005478545
0.0005414055,0.0005414055,0.0005414055,0.0005414055
0.0005348647,0.0005348647,0.0005348647,0.0005348647
0.0005283150,0.0005283150,0.0005283150,0.0005283150
0.0005218359,0.0005218359,0.0005218359,0.0005218359
0.0005152678,0.0005152678,0.0005152678,0.0005152678
0.0005086911,0.0005086911,0.0005086911,0.0005086911
0.0005021825,0.0005021825,0.0005021825,0.0005021825
0.0004955879,0.0004955879,0.0004955879,0.0004955879
0.0004889849,0.0004889849,0.0004889849,0.0004889849
0.0004824476,0.0004824476,0.0004824476,0.0004824476
0.0004758272,0.0004758272,0.0004758272,0.0004758272
0.0004691985,0.0004691985,0.0004691985,0.0004691985
0.0004626333,0.0004626333,0.0004626333,0.0004626333
0.0004559877,0.0004559877,0.0004559877,0.0004559877
0.0004493341,0.0004493341,0.0004493341,0.0004493341
0.0004427415,0.0004427415,0.0004427415,0.0004427415
0.0004360715,0.0004360715,0.0004360715,0.0004360715
0.0004293937,0.0004293937,0.0004293937,0.0004293937
0.0004227744,0.0004227744,0.0004227744,0.0004227744
0.0004160806,0.0004160806,0.0004160806,0.0004160806
0.0004093793,0.0004093793,0.0004093793,0.0004093793
0.0004026705,0.0004026705,0.0004026705,0.0004026705
0.0003960385,0.0003960385,0.0003960385,0.0003960385
0.0003893140,0.0003893140,0.0003893140,0.0003893140
0.0003825824,0.0003825824,0.0003825824,0.0003825824
0.0003759035,0.0003759035,0.0003759035,0.0003759035
0.0003691568,0.0003691568,0.0003691568,0.0003691568
0.0003624032,0.0003624032,0.0003624032,0.0003624032
0.0003556998,0.0003556998,0.0003556998,0.0003556998
0.0003489316,0.0003489316,0.0003489316,0.0003489316
0.0003421566,0.0003421566,0.0003421566,0.0003421566
0.0003354294,0.0003354294,0.0003354294,0.0003354294
0.0003286403,0.0003286403,0.0003286403,0.0003286403
0.0003218445,0.0003218445,0.0003218445,0.0003218445
0.0003150941,0.0003150941,0.0003150941,0.0003150941
0.0003082847,0.0003082847,0.0003082847,0.0003082847
0.0003014689,0.0003014689,0.0003014689,0.0003014689
0.0002946959,0.0002946959,0.0002946959,0.0002946959
0.0002878668,0.0002878668,0.0002878668,0.0002878668
0.0002810628,0.0002810628,0.0002810628,0.0002810628
0.0002742210,0.0002742210,0.0002742210,0.0002742210
0.0002674031,0.0002674031,0.0002674031,0.0002674031
0.0002605488,0.0002605488,0.0002605488,0.0002605488
0.0002537174,0.0002537174,0.0002537174,0.0002537174
0.0002468509,0.0002468509,0.0002468509,0.0002468509
0.0002400061,0.0002400061,0.0002400061,0.0002400061
0.0002331276,0.0002331276,0.0002331276,0.0002331276
0.0002262698,0.0002262698,0.0002262698,0.0002262698
0.0002193796,0.0002193796,0.0002193796,0.0002193796
0.0002125090,0.0002125090,0.0002125090,0.0002125090
0.0002056073,0.0002056073,0.0002056073,0.0002056073
0.0001987241,0.0001987241,0.0001987241,0.0001987241
0.0001918113,0.0001918113,0.0001918113,0.0001918113
0.0001849159,0.0001849159,0.0001849159,0.0001849159
0.0001779921,0.0001779921,0.0001779921,0.0001779921
0.0001710846,0.0001710846,0.0001710846,0.0001710846
0.0001641501,0.0001641501,0.0001641501,0.0001641501
0.0001572308,0.0001572308,0.0001572308,0.0001572308
0.0001502859,0.0001502859,0.0001502859,0.0001502859
0.0001433551,0.0001433551,0.0001433551,0.0001433551
0.0001364000,0.0001364000,0.0001364000,0.0001364000
0.0001294578,0.0001294578,0.0001294578,0.0001294578
0.0001224928,0.0001224928,0.0001224928,0.0001224928
0.0001155395,0.0001155395,0.0001155395,0.0001155395
0.0001085647,0.0001085647,0.0001085647,0.0001085647
0.0001016006,0.0001016006,0.0001016006,0.0001016006
0.0000946164,0.0000946164,0.0000946164,0.0000946164
0.0000876417,0.0000876417,0.0000876417,0.0000876417
0.0000806482,0.0000806482,0.0000806482,0.0000806482
0.0000736631,0.0000736631,0.0000736631,0.0000736631
0.0000666606,0.0000666606,0.0000666606,0.0000666606
0.0000596653,0.0000596653,0.0000596653,0.0000596653
0.0000526541,0.0000526541,0.0000526541,0.0000526541
0.0000456489,0.0000456489,0.0000456489,0.0000456489
0.0000386290,0.0000386290,0.0000386290,0.0000386290
0.0000316141,0.0000316141,0.0000316141,0.0000316141
